#      z (A)        rho (1e-6/A2)       irho (1e-6/A2)
-10.00000000   6.20176149   0.00000000
  0.00000000   6.20176149   0.00000000
  0.00000000   1.14736927   0.00000000
 13.31254600   1.14736927   0.00000000
 13.31254600   5.61620616   0.00000000
 46.44757858   5.61620616   0.00000000
 46.44757858   3.10120673   0.00000000
236.64979711   3.10120673   0.00000000
236.64979711   3.47000000   0.00000000
256.52036850   3.47000000   0.00000000
256.52036850   2.07370574   0.00002376
266.52036850   2.07370574   0.00002376
