#      z (A)        rho (1e-6/A2)       irho (1e-6/A2)
-10.00000000   6.19871213   0.00000000
  0.00000000   6.19871213   0.00000000
  0.00000000   1.30212442   0.00000000
 13.72590810   1.30212442   0.00000000
 13.72590810   5.60878672   0.00000000
 46.49135383   5.60878672   0.00000000
 46.49135383   3.12322629   0.00000000
236.35740758   3.12322629   0.00000000
236.35740758   3.47000000   0.00000000
255.84096994   3.47000000   0.00000000
255.84096994   2.07370574   0.00002376
265.84096994   2.07370574   0.00002376
