#      z (A)        rho (1e-6/A2)       irho (1e-6/A2)
-10.00000000   6.31536285   0.00000000
  0.00000000   6.31536285   0.00000000
  0.00000000   0.73389049   0.00000000
 19.39689406   0.73389049   0.00000000
 19.39689406   5.52177053   0.00000000
 53.92630843   5.52177053   0.00000000
 53.92630843   3.18592505   0.00000000
243.62531661   3.18592505   0.00000000
243.62531661   3.47000000   0.00000000
261.94513619   3.47000000   0.00000000
261.94513619   2.07370574   0.00002376
271.94513619   2.07370574   0.00002376
